,job_title,company,description
12, AWS Data Engineer (10 +Years only) , Extend Information Systems ,"Hi jobseekers, I hope you are doing well! We have an opportunity ""AWS Data Engineer"" with one of our clients for Reston, VA (Once in a Month)  Please see the job details below and let me know if you would be interested in this role. If interested, please send me a copy of your resume, contact details and a good time to connect with you. Roll: AWS Data Engineer  Project Location: Reston, VA (Once in a Month)  Employment Type : FTE/ Contract Job Description:  Please Submit only 10+yrs Profile MustHi jobseekers, I hope you are doing well! We have an opportunity ""AWS Data Engineer"" with one of our clients for Reston, VA (Once in a Month)  Please see the job details below and let me know if you would be interested in this role. If interested, please send me a copy of your resume, contact details and a good time to connect with you. Roll: AWS Data Engineer  Project Location: Reston, VA (Once in a Month)  Employment Type : FTE/ Contract Job Description:  Please Submit only 10+yrs Profile MustHi jobseekers, I hope you are doing well! We have an opportunity ""AWS Data Engineer"" with one of our clients for Reston, VA (Once in a Month)  Please see the job details below and let me know if you would be interested in this role. If interested, please send me a copy of your resume, contact details and a good time to connect with you. Roll: AWS Data Engineer  Project Location: Reston, VA (Once in a Month)  Employment Type : FTE/ Contract Job Description:  Please Submit only 10+yrs Profile MustHi jobseekers, I hope you are doing well! We have an opportunity ""AWS Data Engineer"" with one of our clients for Reston, VA (Once in a Month)  Please see the job details below and let me know if you would be interested in this role. If interested, please send me a copy of your resume, contact details and a good time to connect with you. Roll: AWS Data Engineer  Project Location: Reston, VA (Once in a Month)  Employment Type : FTE/ Contract Job Description:  Please Submit only 10+yrs Profile Must"
13, AWS Data Engineer - W2 only , Boston Associate Software Systems ,"Top Skills' Details - This is a Digital transformation project and CoBank is looking to go from on prem (Oracle & SQL Server) to AWS. - Mid - Sr. level people to help bring this project to fruition. - Hands on experience moving data from physical (on prem) servers to AWS is a MUST. - AWS data movement services - AWS Lambda, Glue, MSK (Managed Services Kafka) - API to Kafka - Python (preferred) or Java development - Event bridge (Event based programming) - Relevant experience of Salesforce hey arTop Skills' Details - This is a Digital transformation project and CoBank is looking to go from on prem (Oracle & SQL Server) to AWS. - Mid - Sr. level people to help bring this project to fruition. - Hands on experience moving data from physical (on prem) servers to AWS is a MUST. - AWS data movement services - AWS Lambda, Glue, MSK (Managed Services Kafka) - API to Kafka - Python (preferred) or Java development - Event bridge (Event based programming) - Relevant experience of Salesforce hey arTop Skills' Details - This is a Digital transformation project and CoBank is looking to go from on prem (Oracle & SQL Server) to AWS. - Mid - Sr. level people to help bring this project to fruition. - Hands on experience moving data from physical (on prem) servers to AWS is a MUST. - AWS data movement services - AWS Lambda, Glue, MSK (Managed Services Kafka) - API to Kafka - Python (preferred) or Java development - Event bridge (Event based programming) - Relevant experience of Salesforce hey arTop Skills' Details - This is a Digital transformation project and CoBank is looking to go from on prem (Oracle & SQL Server) to AWS. - Mid - Sr. level people to help bring this project to fruition. - Hands on experience moving data from physical (on prem) servers to AWS is a MUST. - AWS data movement services - AWS Lambda, Glue, MSK (Managed Services Kafka) - API to Kafka - Python (preferred) or Java development - Event bridge (Event based programming) - Relevant experience of Salesforce hey ar"
14, AWS Infrastructure Engineer , Skill Quotient ,"Company Description  Skill Quotient Technologies is a CMMI level 3 & ISO 27001:2013 certified innovative IT company headquartered in Malaysia, working on cutting-edge technologies such as Cyber Security, Robotic Process Automation, Data Analytics, SAP, Software Development & Software Testing. With offices in the USA, Malaysia, Singapore, and India, we have a strong team of 800+ employees and deliver innovative solutions for businesses worldwide.  Summary:  We are looking for an Sr. AWS InfrastruCompany Description  Skill Quotient Technologies is a CMMI level 3 & ISO 27001:2013 certified innovative IT company headquartered in Malaysia, working on cutting-edge technologies such as Cyber Security, Robotic Process Automation, Data Analytics, SAP, Software Development & Software Testing. With offices in the USA, Malaysia, Singapore, and India, we have a strong team of 800+ employees and deliver innovative solutions for businesses worldwide.  Summary:  We are looking for an Sr. AWS InfrastruCompany Description  Skill Quotient Technologies is a CMMI level 3 & ISO 27001:2013 certified innovative IT company headquartered in Malaysia, working on cutting-edge technologies such as Cyber Security, Robotic Process Automation, Data Analytics, SAP, Software Development & Software Testing. With offices in the USA, Malaysia, Singapore, and India, we have a strong team of 800+ employees and deliver innovative solutions for businesses worldwide.  Summary:  We are looking for an Sr. AWS Infrastru"
15, Actimize Developer , Talent Group ,"We are seeking a highly skilled and experienced Actimize Developer to join our dynamic team. The ideal candidate should have a strong background in hands-on Actimize platform development, with proficiency in core Java technology and related stack. The candidate must have a proven track record of successfully implementing large-scale projects in the Java platform, including Java Plugin development, with a minimum of 7 years of relevant experience. Key Qualifications: Hands-on experience with ActiWe are seeking a highly skilled and experienced Actimize Developer to join our dynamic team. The ideal candidate should have a strong background in hands-on Actimize platform development, with proficiency in core Java technology and related stack. The candidate must have a proven track record of successfully implementing large-scale projects in the Java platform, including Java Plugin development, with a minimum of 7 years of relevant experience. Key Qualifications: Hands-on experience with ActiWe are seeking a highly skilled and experienced Actimize Developer to join our dynamic team. The ideal candidate should have a strong background in hands-on Actimize platform development, with proficiency in core Java technology and related stack. The candidate must have a proven track record of successfully implementing large-scale projects in the Java platform, including Java Plugin development, with a minimum of 7 years of relevant experience. Key Qualifications: Hands-on experience with Acti"
16, Active Directory System Administrator/MS 365 Global Administrator: 6+ Months Project at Columbia SC: REMOTE but occasional onsite Meetings Required: USD 75/hr W2. , Beechwood Computing Ltd ,"This project is ordinarily remote but occasional onsite meetings (say once/month) may be required. SCOPE OF THE PROJECT: ACTIVE DIRECTORY SYSTEM ADMINISTRATOR AND MICROSOFT 365 GLOBAL ADMIN  DAILY DUTIES / RESPONSIBILITIES: WORKING INDEPENDENTLY COORDINATES AND ADMINISTERS ENTERPRISE MICROSOFT ACTIVE DIRECTORY, OFFICE 365 AND IDENTITY MANAGEMENT FOR THE CLIENT. THIS POSITION WILL BE RESPONSIBLE FOR OPTIMAL PERFORMANCE OF THE CLIENT'S ACTIVE DIRECTORY, AND OFFICE 365 INFRASTRUCTURE AND DELIVERY OThis project is ordinarily remote but occasional onsite meetings (say once/month) may be required. SCOPE OF THE PROJECT: ACTIVE DIRECTORY SYSTEM ADMINISTRATOR AND MICROSOFT 365 GLOBAL ADMIN  DAILY DUTIES / RESPONSIBILITIES: WORKING INDEPENDENTLY COORDINATES AND ADMINISTERS ENTERPRISE MICROSOFT ACTIVE DIRECTORY, OFFICE 365 AND IDENTITY MANAGEMENT FOR THE CLIENT. THIS POSITION WILL BE RESPONSIBLE FOR OPTIMAL PERFORMANCE OF THE CLIENT'S ACTIVE DIRECTORY, AND OFFICE 365 INFRASTRUCTURE AND DELIVERY O"
17, Actmize BA , IT America ,"Location:Canada(Remote work) - Must have Actimize Experience  - Responsible for client communication to gather and document requirements  - Writing business specifications  - Creating and executing test plans  - Developing use cases, test cases, and test data  - Conducting data analysis  - Should have experience in financial services such as banking, brokerage or insurance  - Should have knowledge of anti-money laundering (AML)  - Should have consulting or professional services experience  - MusLocation:Canada(Remote work) - Must have Actimize Experience  - Responsible for client communication to gather and document requirements  - Writing business specifications  - Creating and executing test plans  - Developing use cases, test cases, and test data  - Conducting data analysis  - Should have experience in financial services such as banking, brokerage or insurance  - Should have knowledge of anti-money laundering (AML)  - Should have consulting or professional services experience  - MusLocation:Canada(Remote work) - Must have Actimize Experience  - Responsible for client communication to gather and document requirements  - Writing business specifications  - Creating and executing test plans  - Developing use cases, test cases, and test data  - Conducting data analysis  - Should have experience in financial services such as banking, brokerage or insurance  - Should have knowledge of anti-money laundering (AML)  - Should have consulting or professional services experience  - MusLocation:Canada(Remote work) - Must have Actimize Experience  - Responsible for client communication to gather and document requirements  - Writing business specifications  - Creating and executing test plans  - Developing use cases, test cases, and test data  - Conducting data analysis  - Should have experience in financial services such as banking, brokerage or insurance  - Should have knowledge of anti-money laundering (AML)  - Should have consulting or professional services experience  - Mus"
18, Adobe AEM Lead Developer , NEELBLUE TECHNOLOGY CONSULTING INC. ,"Only Those authorized to work in the United States without sponsorship are encouraged to apply. and Citizen Apply for the job Detailed Description The Lead AEM Developer will be responsible for, but not limited to: Serve as primary in-house expert on AEM to develop best architectural solutions and be able to effectively communicate AEM considerations to factor when developing requirements. Manage the technical delivery of custom development, integrations, and data definition elements of an AEM iOnly Those authorized to work in the United States without sponsorship are encouraged to apply. and Citizen Apply for the job Detailed Description The Lead AEM Developer will be responsible for, but not limited to: Serve as primary in-house expert on AEM to develop best architectural solutions and be able to effectively communicate AEM considerations to factor when developing requirements. Manage the technical delivery of custom development, integrations, and data definition elements of an AEM iOnly Those authorized to work in the United States without sponsorship are encouraged to apply. and Citizen Apply for the job Detailed Description The Lead AEM Developer will be responsible for, but not limited to: Serve as primary in-house expert on AEM to develop best architectural solutions and be able to effectively communicate AEM considerations to factor when developing requirements. Manage the technical delivery of custom development, integrations, and data definition elements of an AEM i"
19, Adobe Analytics Architect(Remote) , Cognizant Technology Solutions ,"Cognizant is always looking for top talent.  We are searching for candidates to fill future needs within the business. This job posting represents potential future employment opportunities with Cognizant. Although the position is not currently available, we want to provide you with the opportunity to express your interest in future employment opportunities with Cognizant.  If a job opportunity that you may be qualified for becomes available in the future, we will notify you.  At that time you caCognizant is always looking for top talent.  We are searching for candidates to fill future needs within the business. This job posting represents potential future employment opportunities with Cognizant. Although the position is not currently available, we want to provide you with the opportunity to express your interest in future employment opportunities with Cognizant.  If a job opportunity that you may be qualified for becomes available in the future, we will notify you.  At that time you caCognizant is always looking for top talent.  We are searching for candidates to fill future needs within the business. This job posting represents potential future employment opportunities with Cognizant. Although the position is not currently available, we want to provide you with the opportunity to express your interest in future employment opportunities with Cognizant.  If a job opportunity that you may be qualified for becomes available in the future, we will notify you.  At that time you ca"
20, Adobe Cold Fusion developer , 2i Solutions ,"Role:Adobe Cold Fusion developer  Location: Remote with limited travel, Candidate should support US Mountain Time Zone  Duration: 6 Months  Responsibility  Analyzes, modifies, and supports ColdFusion applications systems including encoding, testing, debugging and installing to support the organizations business. Gathers requirements from users creates specifications and develops code. Designs and writes code to support existing applications. Interacts with SQL Server database platform to utilizeRole:Adobe Cold Fusion developer  Location: Remote with limited travel, Candidate should support US Mountain Time Zone  Duration: 6 Months  Responsibility  Analyzes, modifies, and supports ColdFusion applications systems including encoding, testing, debugging and installing to support the organizations business. Gathers requirements from users creates specifications and develops code. Designs and writes code to support existing applications. Interacts with SQL Server database platform to utilizeRole:Adobe Cold Fusion developer  Location: Remote with limited travel, Candidate should support US Mountain Time Zone  Duration: 6 Months  Responsibility  Analyzes, modifies, and supports ColdFusion applications systems including encoding, testing, debugging and installing to support the organizations business. Gathers requirements from users creates specifications and develops code. Designs and writes code to support existing applications. Interacts with SQL Server database platform to utilizeRole:Adobe Cold Fusion developer  Location: Remote with limited travel, Candidate should support US Mountain Time Zone  Duration: 6 Months  Responsibility  Analyzes, modifies, and supports ColdFusion applications systems including encoding, testing, debugging and installing to support the organizations business. Gathers requirements from users creates specifications and develops code. Designs and writes code to support existing applications. Interacts with SQL Server database platform to utilize"
21, Agilist Lead Consultant ," NTT DATA Americas, Inc ","Company Overview: Req ID: 266858 NTT DATA Services strives to hire exceptional, innovative and passionate individuals who want to grow with us. If you want to be part of an inclusive, adaptable, and forward-thinking organization, apply now. We are currently seeking a Agilist Lead Consultant to join our team in Remote, Nova Scotia (CA-NS), Canada (CA).Job Description: Our Agile Product Owner II is responsible for establishing vision for no more than two Agile (Scrum/Kanban) teams. The Product OwnCompany Overview: Req ID: 266858 NTT DATA Services strives to hire exceptional, innovative and passionate individuals who want to grow with us. If you want to be part of an inclusive, adaptable, and forward-thinking organization, apply now. We are currently seeking a Agilist Lead Consultant to join our team in Remote, Nova Scotia (CA-NS), Canada (CA).Job Description: Our Agile Product Owner II is responsible for establishing vision for no more than two Agile (Scrum/Kanban) teams. The Product OwnCompany Overview: Req ID: 266858 NTT DATA Services strives to hire exceptional, innovative and passionate individuals who want to grow with us. If you want to be part of an inclusive, adaptable, and forward-thinking organization, apply now. We are currently seeking a Agilist Lead Consultant to join our team in Remote, Nova Scotia (CA-NS), Canada (CA).Job Description: Our Agile Product Owner II is responsible for establishing vision for no more than two Agile (Scrum/Kanban) teams. The Product Own"
22, Android Product Analyst || Remote , SVSoftwareServices ,"Job Title Product Analyst  Digital Turbine Location Remote Duration 12+ months  Qualifications: Bachelors degree in computer science, Engineering, Business, or a related field. Master's degree is a plus.Proven experience (5+ years) in product analysis, AdTech, and Android platform analysis.Proficiency in data analysis tools such as Excel, SQL, Python, or similar languages.Strong analytical mindset with the ability to interpret complex data and derive actionable insights.Natural tendency to be cuJob Title Product Analyst  Digital Turbine Location Remote Duration 12+ months  Qualifications: Bachelors degree in computer science, Engineering, Business, or a related field. Master's degree is a plus.Proven experience (5+ years) in product analysis, AdTech, and Android platform analysis.Proficiency in data analysis tools such as Excel, SQL, Python, or similar languages.Strong analytical mindset with the ability to interpret complex data and derive actionable insights.Natural tendency to be cuJob Title Product Analyst  Digital Turbine Location Remote Duration 12+ months  Qualifications: Bachelors degree in computer science, Engineering, Business, or a related field. Master's degree is a plus.Proven experience (5+ years) in product analysis, AdTech, and Android platform analysis.Proficiency in data analysis tools such as Excel, SQL, Python, or similar languages.Strong analytical mindset with the ability to interpret complex data and derive actionable insights.Natural tendency to be cuJob Title Product Analyst  Digital Turbine Location Remote Duration 12+ months  Qualifications: Bachelors degree in computer science, Engineering, Business, or a related field. Master's degree is a plus.Proven experience (5+ years) in product analysis, AdTech, and Android platform analysis.Proficiency in data analysis tools such as Excel, SQL, Python, or similar languages.Strong analytical mindset with the ability to interpret complex data and derive actionable insights.Natural tendency to be cu"
23, Angular Developer , SAIC ,"Job ID: 2400357  Location: REMOTE WORK, VA, US  Date Posted: 2024-01-08  Category: Software  Subcategory: SW Engineer  Schedule: Full-time  Shift: Day Job  Travel: No  Minimum Clearance Required: None  Clearance Level Must Be Able to Obtain: Public Trust  Potential for Remote Work: No  Description As a Full Stack Developer with expertise in Angular, Spring Framework, and PostgreSQL Database, your job responsibilities would involve working on various aspects of software development and ensuring tJob ID: 2400357  Location: REMOTE WORK, VA, US  Date Posted: 2024-01-08  Category: Software  Subcategory: SW Engineer  Schedule: Full-time  Shift: Day Job  Travel: No  Minimum Clearance Required: None  Clearance Level Must Be Able to Obtain: Public Trust  Potential for Remote Work: No  Description As a Full Stack Developer with expertise in Angular, Spring Framework, and PostgreSQL Database, your job responsibilities would involve working on various aspects of software development and ensuring tJob ID: 2400357  Location: REMOTE WORK, VA, US  Date Posted: 2024-01-08  Category: Software  Subcategory: SW Engineer  Schedule: Full-time  Shift: Day Job  Travel: No  Minimum Clearance Required: None  Clearance Level Must Be Able to Obtain: Public Trust  Potential for Remote Work: No  Description As a Full Stack Developer with expertise in Angular, Spring Framework, and PostgreSQL Database, your job responsibilities would involve working on various aspects of software development and ensuring t"
24, Apache Solr / Elastic Search , Savi Technologies ,"Hi team, Title: Apache Solr / Elastic Search Location: Remote Job Description 5+ years experience working with Apache Lucene (SOLR and/or Elastic Search) and its complimentary components  3 years experience implementing SOLR builds of indexes, shards, and refined searches across semi-structured data sets to include architectural scaling  3 years experience with infrastructure including Red Hat, MySQL, clustering, Perl, Java, and shell scripting  3 years experience in data analytics, algorithms, Hi team, Title: Apache Solr / Elastic Search Location: Remote Job Description 5+ years experience working with Apache Lucene (SOLR and/or Elastic Search) and its complimentary components  3 years experience implementing SOLR builds of indexes, shards, and refined searches across semi-structured data sets to include architectural scaling  3 years experience with infrastructure including Red Hat, MySQL, clustering, Perl, Java, and shell scripting  3 years experience in data analytics, algorithms, Hi team, Title: Apache Solr / Elastic Search Location: Remote Job Description 5+ years experience working with Apache Lucene (SOLR and/or Elastic Search) and its complimentary components  3 years experience implementing SOLR builds of indexes, shards, and refined searches across semi-structured data sets to include architectural scaling  3 years experience with infrastructure including Red Hat, MySQL, clustering, Perl, Java, and shell scripting  3 years experience in data analytics, algorithms, "
