,job_title,company,description
10, GraphQL Engineer ," York Solutions, LLC ",looking for a graphQL expert. Looking for someone who can challenge and help define what long term solutions would look like from schema perspective. He wants to person to be an internal advisory board on how Graphql should be set up  They currently have some external resources doing this work but he wants to bring the expertise inhouse.  Want multiple years with Graphql  Federated Graphql experience is a must.  Strong communication and ability to champion this solution across the organization. looking for a graphQL expert. Looking for someone who can challenge and help define what long term solutions would look like from schema perspective. He wants to person to be an internal advisory board on how Graphql should be set up  They currently have some external resources doing this work but he wants to bring the expertise inhouse.  Want multiple years with Graphql  Federated Graphql experience is a must.  Strong communication and ability to champion this solution across the organization. looking for a graphQL expert. Looking for someone who can challenge and help define what long term solutions would look like from schema perspective. He wants to person to be an internal advisory board on how Graphql should be set up  They currently have some external resources doing this work but he wants to bring the expertise inhouse.  Want multiple years with Graphql  Federated Graphql experience is a must.  Strong communication and ability to champion this solution across the organization. looking for a graphQL expert. Looking for someone who can challenge and help define what long term solutions would look like from schema perspective. He wants to person to be an internal advisory board on how Graphql should be set up  They currently have some external resources doing this work but he wants to bring the expertise inhouse.  Want multiple years with Graphql  Federated Graphql experience is a must.  Strong communication and ability to champion this solution across the organization. looking for a graphQL expert. Looking for someone who can challenge and help define what long term solutions would look like from schema perspective. He wants to person to be an internal advisory board on how Graphql should be set up  They currently have some external resources doing this work but he wants to bring the expertise inhouse.  Want multiple years with Graphql  Federated Graphql experience is a must.  Strong communication and ability to champion this solution across the organization. 
11, INFOSEC Engineer (Remote) , DP Professionals Inc ,"DPP is seeking a INFOSEC Engineer for an opportunity with our client in Des Moines, Iowa.Work arrangement: Remote W2 position; 6 months with a possibility of extensionPosition description: The Sr. Information Security Engineer (INFOSEC Engineer) must be capable of independently working, to aid and support the Security Team with maintaining the security posture of our organization's information system(s), and interconnected network(s). This role is a significant addition to assist the Security teDPP is seeking a INFOSEC Engineer for an opportunity with our client in Des Moines, Iowa.Work arrangement: Remote W2 position; 6 months with a possibility of extensionPosition description: The Sr. Information Security Engineer (INFOSEC Engineer) must be capable of independently working, to aid and support the Security Team with maintaining the security posture of our organization's information system(s), and interconnected network(s). This role is a significant addition to assist the Security teDPP is seeking a INFOSEC Engineer for an opportunity with our client in Des Moines, Iowa.Work arrangement: Remote W2 position; 6 months with a possibility of extensionPosition description: The Sr. Information Security Engineer (INFOSEC Engineer) must be capable of independently working, to aid and support the Security Team with maintaining the security posture of our organization's information system(s), and interconnected network(s). This role is a significant addition to assist the Security te"
12, Junior Snowflake - Informatica Developer ," York Solutions, LLC ",We are hiring.  Looking for a junior informatica/snowflake developer for a 12+ month project.  This position is 100% remote.  Logistics: Type: Contract Location: Remote Pay Rate: 40/45 w2 This is a junior role for our direct end client.  New group with lots of opportunity to grow.  Position is a possible contract to hire. Position Overview: ETL/Snowflake/Cloud ETL developer Project Overview: ETL/Snowflake data model build out Team/Department: Reporting and Analytics Responsibilities: Follow bestWe are hiring.  Looking for a junior informatica/snowflake developer for a 12+ month project.  This position is 100% remote.  Logistics: Type: Contract Location: Remote Pay Rate: 40/45 w2 This is a junior role for our direct end client.  New group with lots of opportunity to grow.  Position is a possible contract to hire. Position Overview: ETL/Snowflake/Cloud ETL developer Project Overview: ETL/Snowflake data model build out Team/Department: Reporting and Analytics Responsibilities: Follow bestWe are hiring.  Looking for a junior informatica/snowflake developer for a 12+ month project.  This position is 100% remote.  Logistics: Type: Contract Location: Remote Pay Rate: 40/45 w2 This is a junior role for our direct end client.  New group with lots of opportunity to grow.  Position is a possible contract to hire. Position Overview: ETL/Snowflake/Cloud ETL developer Project Overview: ETL/Snowflake data model build out Team/Department: Reporting and Analytics Responsibilities: Follow bestWe are hiring.  Looking for a junior informatica/snowflake developer for a 12+ month project.  This position is 100% remote.  Logistics: Type: Contract Location: Remote Pay Rate: 40/45 w2 This is a junior role for our direct end client.  New group with lots of opportunity to grow.  Position is a possible contract to hire. Position Overview: ETL/Snowflake/Cloud ETL developer Project Overview: ETL/Snowflake data model build out Team/Department: Reporting and Analytics Responsibilities: Follow bestWe are hiring.  Looking for a junior informatica/snowflake developer for a 12+ month project.  This position is 100% remote.  Logistics: Type: Contract Location: Remote Pay Rate: 40/45 w2 This is a junior role for our direct end client.  New group with lots of opportunity to grow.  Position is a possible contract to hire. Position Overview: ETL/Snowflake/Cloud ETL developer Project Overview: ETL/Snowflake data model build out Team/Department: Reporting and Analytics Responsibilities: Follow best
13, Lead Engineer - Cyber Security , Korn Ferry ,Lead Engineer - Cybersecurity - Remote This role will support the Cybersecurity mission by working with the business as a trusted advisor to reduce cybersecurity risks to acceptable levels. YOUR IMPACT  These duties are not meant to be all-inclusive and other duties may be assigned. Drive SOAR development life cycle to support security operations and IR teams. Actively interpret existing playbooks/run-books to develop and manage improvements into new or existing platforms. Conduct review of exisLead Engineer - Cybersecurity - Remote This role will support the Cybersecurity mission by working with the business as a trusted advisor to reduce cybersecurity risks to acceptable levels. YOUR IMPACT  These duties are not meant to be all-inclusive and other duties may be assigned. Drive SOAR development life cycle to support security operations and IR teams. Actively interpret existing playbooks/run-books to develop and manage improvements into new or existing platforms. Conduct review of exisLead Engineer - Cybersecurity - Remote This role will support the Cybersecurity mission by working with the business as a trusted advisor to reduce cybersecurity risks to acceptable levels. YOUR IMPACT  These duties are not meant to be all-inclusive and other duties may be assigned. Drive SOAR development life cycle to support security operations and IR teams. Actively interpret existing playbooks/run-books to develop and manage improvements into new or existing platforms. Conduct review of exis
14, Principal IT Solutions Architect - CMS/Drupal/AEM - REM ," Maximus, Inc. ","Maximus continues to grow our Digital Solutions organization to better serve the needs of our organization and our customers in the government, health, and human services space. Digital Transformation is one of our primary strategic pillars and is a significant part of our long-term corporate strategy. We are a group of skilled practitioners who are laser-focused on continuing to introduce differentiated solution offerings aligned with the mission requirements of our customers to improve overallMaximus continues to grow our Digital Solutions organization to better serve the needs of our organization and our customers in the government, health, and human services space. Digital Transformation is one of our primary strategic pillars and is a significant part of our long-term corporate strategy. We are a group of skilled practitioners who are laser-focused on continuing to introduce differentiated solution offerings aligned with the mission requirements of our customers to improve overallMaximus continues to grow our Digital Solutions organization to better serve the needs of our organization and our customers in the government, health, and human services space. Digital Transformation is one of our primary strategic pillars and is a significant part of our long-term corporate strategy. We are a group of skilled practitioners who are laser-focused on continuing to introduce differentiated solution offerings aligned with the mission requirements of our customers to improve overallMaximus continues to grow our Digital Solutions organization to better serve the needs of our organization and our customers in the government, health, and human services space. Digital Transformation is one of our primary strategic pillars and is a significant part of our long-term corporate strategy. We are a group of skilled practitioners who are laser-focused on continuing to introduce differentiated solution offerings aligned with the mission requirements of our customers to improve overall"
15," Regulatory Affairs Business Analyst in Cambridge, MA (or remote) ", The Fountain Group ,"Pay 80-85/hour W2. Our company offers our consultants a suite of benefits after a qualification period including health, vision, dental, life and disability insurance.  W2 candidates only, C2C not possible for this role.  Manager Updates  Can be remote but the manager prefers a candidate local to Cambridge, MA as he would like for them to come into the office a few time a month. This is a Heavy Data Migration role, candidates should have Knowledge of Regulatory, Publishing, or EDMS models.  The Pay 80-85/hour W2. Our company offers our consultants a suite of benefits after a qualification period including health, vision, dental, life and disability insurance.  W2 candidates only, C2C not possible for this role.  Manager Updates  Can be remote but the manager prefers a candidate local to Cambridge, MA as he would like for them to come into the office a few time a month. This is a Heavy Data Migration role, candidates should have Knowledge of Regulatory, Publishing, or EDMS models.  The Pay 80-85/hour W2. Our company offers our consultants a suite of benefits after a qualification period including health, vision, dental, life and disability insurance.  W2 candidates only, C2C not possible for this role.  Manager Updates  Can be remote but the manager prefers a candidate local to Cambridge, MA as he would like for them to come into the office a few time a month. This is a Heavy Data Migration role, candidates should have Knowledge of Regulatory, Publishing, or EDMS models.  The Pay 80-85/hour W2. Our company offers our consultants a suite of benefits after a qualification period including health, vision, dental, life and disability insurance.  W2 candidates only, C2C not possible for this role.  Manager Updates  Can be remote but the manager prefers a candidate local to Cambridge, MA as he would like for them to come into the office a few time a month. This is a Heavy Data Migration role, candidates should have Knowledge of Regulatory, Publishing, or EDMS models.  The "
16, Salesforce Vlocity Architect - Remote , Korn Ferry ,"We have partnered with our client in their search for a Salesforce Vlocity Architect.  Responsibilities Responsible for creating a vision of the future solution, designing the solution, estimating the costs and delivering.  Designing solutions and system functionalities according to business requirements and according to Salesforce best practices Analysis of business requirements and mapping them to Salesforce capabilities Estimating effort of configuration work on Salesforce Platform Working inWe have partnered with our client in their search for a Salesforce Vlocity Architect.  Responsibilities Responsible for creating a vision of the future solution, designing the solution, estimating the costs and delivering.  Designing solutions and system functionalities according to business requirements and according to Salesforce best practices Analysis of business requirements and mapping them to Salesforce capabilities Estimating effort of configuration work on Salesforce Platform Working inWe have partnered with our client in their search for a Salesforce Vlocity Architect.  Responsibilities Responsible for creating a vision of the future solution, designing the solution, estimating the costs and delivering.  Designing solutions and system functionalities according to business requirements and according to Salesforce best practices Analysis of business requirements and mapping them to Salesforce capabilities Estimating effort of configuration work on Salesforce Platform Working in"
17, Scrum Master with Healthcare - Contract - W2 Only (No C2C) - Remote , iTech Solutions ,"Scrum Master with Healthcare REMOTE Duties: Serves as the  servant leader  of the Scrum team by removing impediments and helping the team remain successful and on schedule. Must have a sufficient understanding of technology to enable them to lead team members and help them overcome their development roadblocks; they must also understand business strategy and objectives, and be able to ensure that development work is prioritized by business value and results align with objectives. The incumbent pScrum Master with Healthcare REMOTE Duties: Serves as the  servant leader  of the Scrum team by removing impediments and helping the team remain successful and on schedule. Must have a sufficient understanding of technology to enable them to lead team members and help them overcome their development roadblocks; they must also understand business strategy and objectives, and be able to ensure that development work is prioritized by business value and results align with objectives. The incumbent pScrum Master with Healthcare REMOTE Duties: Serves as the  servant leader  of the Scrum team by removing impediments and helping the team remain successful and on schedule. Must have a sufficient understanding of technology to enable them to lead team members and help them overcome their development roadblocks; they must also understand business strategy and objectives, and be able to ensure that development work is prioritized by business value and results align with objectives. The incumbent p"
22, ServiceNow HAM Pro SME , Cloudious LLC ,"Job Title: ServiceNow HAM Pro SME  Location: Seattle, WA (Remote)  Pay Rate: $80/hr on C2C  please submit candidates who did ServiceNow HAM pro implementations in the recent project. Job Description  Job Role: ServiceNow HAM Pro SME 10 to 12 years working with ServiceNow platform in enterprise-wide, multi-tier ServiceNow production environment. Atleast 12 to 14 years of experience in the IT Industry Experience Roles & Responsibilities Hands-on experience in implementing CMDB , Discovery & ServicJob Title: ServiceNow HAM Pro SME  Location: Seattle, WA (Remote)  Pay Rate: $80/hr on C2C  please submit candidates who did ServiceNow HAM pro implementations in the recent project. Job Description  Job Role: ServiceNow HAM Pro SME 10 to 12 years working with ServiceNow platform in enterprise-wide, multi-tier ServiceNow production environment. Atleast 12 to 14 years of experience in the IT Industry Experience Roles & Responsibilities Hands-on experience in implementing CMDB , Discovery & ServicJob Title: ServiceNow HAM Pro SME  Location: Seattle, WA (Remote)  Pay Rate: $80/hr on C2C  please submit candidates who did ServiceNow HAM pro implementations in the recent project. Job Description  Job Role: ServiceNow HAM Pro SME 10 to 12 years working with ServiceNow platform in enterprise-wide, multi-tier ServiceNow production environment. Atleast 12 to 14 years of experience in the IT Industry Experience Roles & Responsibilities Hands-on experience in implementing CMDB , Discovery & Servic"
23," Sr Azure Cloud Devloper -ASP.Net Developer  - With Cloud Native Development Experience - Sr Level -  SQL, Azure, Agile, Net, Blazor, Microservices - in Tucson or Phoenix, AZ (MST, PST or CST Time Zones) ", SESC ,"Sr Cloud Native Full Stack .Net Developer with Microsoft, C#, Azure and Agile experience Position is remote until further notice and will then be onsite.  Locations: Tucson, AZ Salary, full time position  NO CORP-TO-CORP OR SPONSORSHIP AVAILABLE FOR THIS POSITION Top 6 Technical Skills: Hands on Sr./Lead level developers / engineers with 10+ years experienceFullstack (Microsoft .NetCore, C#) with Blazor (++)Strong experience Architecting / Designing Microservice applicationsObject Oriented DesigSr Cloud Native Full Stack .Net Developer with Microsoft, C#, Azure and Agile experience Position is remote until further notice and will then be onsite.  Locations: Tucson, AZ Salary, full time position  NO CORP-TO-CORP OR SPONSORSHIP AVAILABLE FOR THIS POSITION Top 6 Technical Skills: Hands on Sr./Lead level developers / engineers with 10+ years experienceFullstack (Microsoft .NetCore, C#) with Blazor (++)Strong experience Architecting / Designing Microservice applicationsObject Oriented DesigSr Cloud Native Full Stack .Net Developer with Microsoft, C#, Azure and Agile experience Position is remote until further notice and will then be onsite.  Locations: Tucson, AZ Salary, full time position  NO CORP-TO-CORP OR SPONSORSHIP AVAILABLE FOR THIS POSITION Top 6 Technical Skills: Hands on Sr./Lead level developers / engineers with 10+ years experienceFullstack (Microsoft .NetCore, C#) with Blazor (++)Strong experience Architecting / Designing Microservice applicationsObject Oriented DesigSr Cloud Native Full Stack .Net Developer with Microsoft, C#, Azure and Agile experience Position is remote until further notice and will then be onsite.  Locations: Tucson, AZ Salary, full time position  NO CORP-TO-CORP OR SPONSORSHIP AVAILABLE FOR THIS POSITION Top 6 Technical Skills: Hands on Sr./Lead level developers / engineers with 10+ years experienceFullstack (Microsoft .NetCore, C#) with Blazor (++)Strong experience Architecting / Designing Microservice applicationsObject Oriented Desig"
